,stats,p-values ATLANTA HAWKS,p-values BOSTON CELTICS,p-values BROOKLYN NETS,p-values CHARLOTTE HORNETS,p-values CHICAGO BULLS,p-values CLEVELAND CAVALIERS,p-values DALLAS MAVERICKS,p-values DENVER NUGGETS,p-values DETROIT PISTONS,p-values GOLDEN STATE WARRIORS,p-values HOUSTON ROCKETS,p-values INDIANA PACERS,p-values LA CLIPPERS,p-values LOS ANGELES LAKERS,p-values MEMPHIS GRIZZLIES,p-values MIAMI HEAT,p-values MILWAUKEE BUCKS,p-values MINNESOTA TIMBERWOLVES,p-values NEW ORLEANS PELICANS,p-values NEW YORK KNICKS,p-values OKLAHOMA CITY THUNDER,p-values ORLANDO MAGIC,p-values PHILADELPHIA 76ERS,p-values PHOENIX SUNS,p-values PORTLAND TRAIL BLAZERS,p-values SACRAMENTO KINGS,p-values SAN ANTONIO SPURS,p-values TORONTO RAPTORS,p-values UTAH JAZZ,p-values WASHINGTON WIZARDS
0,FGM.TEAM,0.12,0.16,0.26,0.18,0.46,0.01,0.41,0.08,0.13,0.0,0.22,0.02,0.25,0.02,0.03,0.03,0.13,0.45,0.06,0.05,0.0,0.11,0.27,0.12,0.03,0.24,0.43,0.04,0.22,0.37
1,FGA.TEAM,0.07,0.2,0.15,0.32,0.07,0.23,0.27,0.39,0.36,0.32,0.1,0.15,0.26,0.52,0.31,0.13,0.41,0.05,0.07,0.04,0.41,0.22,0.16,0.45,0.22,0.13,0.17,0.31,0.04,0.1
2,X3PM.TEAM,0.45,0.03,0.33,0.41,0.37,0.44,0.27,0.14,0.13,0.03,0.18,0.32,0.13,0.14,0.09,0.05,0.33,0.06,0.09,0.29,0.19,0.28,0.17,0.12,0.04,0.05,0.1,0.06,0.03,0.03
3,X3PA.TEAM,0.32,0.38,0.26,0.41,0.08,0.32,0.09,0.25,0.37,0.38,0.13,0.43,0.19,0.39,0.02,0.19,0.13,0.28,0.0,0.52,0.25,0.09,0.27,0.08,0.08,0.11,0.36,0.12,0.13,0.21
4,FTA.TEAM,0.07,0.61,0.2,0.12,0.02,0.43,0.0,0.48,0.46,0.06,0.22,0.35,0.19,0.35,0.15,0.14,0.03,0.18,0.04,0.07,0.39,0.15,0.25,0.31,0.12,0.07,0.42,0.02,0.17,0.27
5,FTM.TEAM,0.11,0.35,0.25,0.0,0.08,0.28,0.01,0.4,0.3,0.19,0.06,0.32,0.27,0.34,0.11,0.01,0.0,0.17,0.15,0.1,0.41,0.07,0.37,0.41,0.21,0.23,0.41,0.05,0.11,0.52
6,OREB.TEAM,0.05,0.01,0.02,0.33,0.01,0.21,0.2,0.13,0.52,0.42,0.12,0.12,0.38,0.38,0.07,0.04,0.09,0.4,0.38,0.33,0.06,0.08,0.23,0.11,0.53,0.04,0.04,0.06,0.06,0.18
7,DREB.TEAM,0.06,0.12,0.2,0.43,0.5,0.02,0.0,0.49,0.01,0.0,0.29,0.07,0.23,0.34,0.12,0.03,0.32,0.12,0.01,0.37,0.12,0.18,0.11,0.02,0.37,0.47,0.15,0.28,0.13,0.24
8,REB.TEAM,0.47,0.03,0.06,0.27,0.17,0.01,0.0,0.25,0.05,0.0,0.11,0.18,0.22,0.25,0.03,0.63,0.1,0.31,0.01,0.31,0.45,0.02,0.24,0.02,0.43,0.28,0.32,0.07,0.47,0.45
9,AST.TEAM,0.0,0.0,0.13,0.02,0.03,0.0,0.44,0.0,0.0,0.0,0.0,0.09,0.03,0.01,0.43,0.4,0.3,0.05,0.02,0.34,0.14,0.1,0.01,0.19,0.06,0.38,0.01,0.05,0.23,0.03
10,TOV.TEAM,0.43,0.0,0.22,0.03,0.11,0.02,0.1,0.19,0.35,0.45,0.07,0.0,0.41,0.09,0.1,0.13,0.29,0.13,0.11,0.14,0.49,0.26,0.29,0.37,0.22,0.26,0.38,0.23,0.41,0.02
11,STL.TEAM,0.25,0.36,0.27,0.28,0.07,0.11,0.36,0.45,0.18,0.05,0.3,0.37,0.0,0.48,0.34,0.26,0.03,0.37,0.22,0.29,0.48,0.27,0.01,0.08,0.39,0.37,0.34,0.21,0.41,0.36
12,BLK.TEAM,0.33,0.01,0.21,0.07,0.22,0.0,0.41,0.23,0.47,0.0,0.28,0.0,0.17,0.22,0.0,0.49,0.16,0.34,0.03,0.45,0.41,0.1,0.07,0.0,0.28,0.11,0.31,0.01,0.16,0.11
13,PF.TEAM,0.17,0.02,0.4,0.06,0.12,0.01,0.03,0.21,0.53,0.0,0.0,0.06,0.21,0.02,0.48,0.47,0.43,0.14,0.43,0.05,0.03,0.34,0.25,0.1,0.02,0.25,0.12,0.32,0.07,0.4
14,PTS.TEAM,0.03,0.06,0.15,0.09,0.27,0.07,0.1,0.07,0.08,0.01,0.08,0.08,0.21,0.0,0.12,0.0,0.03,0.2,0.01,0.35,0.03,0.28,0.52,0.03,0.07,0.03,0.34,0.0,0.35,0.09
15,FG%.TEAM,0.17,0.34,0.09,0.1,0.23,0.05,0.4,0.03,0.17,0.0,0.43,0.07,0.02,0.0,0.06,0.0,0.2,0.08,0.12,0.0,0.0,0.26,0.53,0.13,0.03,0.06,0.29,0.06,0.29,0.07
16,X3FG%.TEAM,0.47,0.0,0.32,0.35,0.29,0.25,0.36,0.09,0.05,0.0,0.47,0.42,0.36,0.02,0.4,0.09,0.42,0.02,0.37,0.21,0.07,0.48,0.25,0.19,0.12,0.3,0.28,0.0,0.11,0.0
